name,division,location,notice_date,start_day,end_day,release_date,rink
쌍용 더 플래티넘 거제아시아드,민영,부산광역시 연제구 거제동 860-1 일원,2020-06-01,2020-06-11,2020-06-15,2020-06-19,https://www.ssyapt.com/geojeasiad
광주운남1단지,국민,"광주광역시 광산구 목련로273번길 76 (운남동, 운남주공1/2단지아파트)",2020-06-01,2020-06-08,2020-06-09,2020-07-16,https://www.kohom.or.kr
SH 고덕강일 8단지 공공분양주택,국민,서울특별시 강동구 아리수로93가길 248-17 (강일동),2020-06-02,2020-06-15,2020-06-22,2020-06-26,http://www.i-sh.co.kr
동두천송내 S1블록 공공분양주택,국민,경기도 동두천시 송내동 664-1번지,2020-05-29,2020-06-09,2020-06-10,2020-06-22,https://www.lh.or.kr/
여주역 금호어울림 베르티스,민영,경기도 여주시 교동로 171-24 (교동),2020-06-05,2020-06-17,2020-06-19,2020-06-25,
시흥장현 A-5블록 국민임대주택,국민,경기도 시흥시 장곡동 424-1 일원,2020-05-29,2020-06-16,2020-06-22,2020-09-24,
김포 센트럴 헤센 1단지,민영,"경기도 김포시 감정로 87 (감정동, 김포 센트럴 헤센)",2020-06-08,2020-06-18,2020-06-22,2020-06-26,
골든렉시움,민영,강원도 속초시 골말길 5 (도문동),2020-06-05,2020-06-15,2020-06-17,2020-06-23,
고양지축 S-1블록 국민임대주택 입주자 모집,국민,경기도 고양시 덕양구 고양지축공공주택지구 : 내 S-1블록,2020-05-29,2020-06-15,2020-06-25,2020-09-24,https://apply.lh.or.kr
양주 옥정신도시 A-17(2) 한신더휴,민영,경기도 양주시 옥정동 938,2020-05-29,2020-06-10,2020-06-12,2020-06-18,http://oj-thehue.com/
함평 한국아델리움 더퍼스트,민영,전라남도 함평군 함평읍 기각리 379-10,2020-06-17,2020-06-22,2020-06-24,2020-06-30,http://hp-adelium.com/index.asp
죽전역 시티프라디움,민영,대구광역시 달서구 죽전1길 39 (죽전동),2020-05-29,2020-06-08,2020-06-10,2020-06-16,http://dg-pradium.com/
대구연경S-1블록 10년 분양전환공공임대주택,국민,대구광역시 동구 지묘동 1386 일원,2020-06-02,2020-06-16,2020-06-17,2020-07-02,http://lhyg-s1.co.kr
남양주별내 A24BL 행복주택 추가입주자모집,국민,경기도 남양주시 송산로 196-45 (별내동),2020-05-29,2020-06-09,2020-06-15,2020-08-28,
"서울 강남5, 서초3 장기전세",국민,서울특별시 서초구 양재대로2길 8 (우면동),2020-05-27,2020-06-03,2020-06-04,2020-08-27,
힐스테이트 의정부역,민영,경기도 의정부시 의정부동 240-130번지 일원,2020-05-29,2020-06-10,2020-06-12,2020-06-18,http://www.hillstate.co.kr/
문산당동1단지 50년공공임대주택 입주자모집,국민,경기도 파주시 문산읍 방촌로 1660 (주공아파트),2020-05-28,2020-06-09,2020-06-10,2020-07-31,
2020년 제1차 국민임대주택 입주자모집,국민,서울특별시 강남구 개포로 621 (개포동),2020-05-28,2020-06-08,2020-06-17,2020-11-06,https://www.i-sh.co.kr
창원 성산 반도유보라 아이비파크,민영,경상남도 창원시 성산구 사파정동 117,2020-05-29,2020-06-08,2020-06-10,2020-06-16,http://changwon-ubora.co.kr
